,Date,Time,hashtags,tagged_usernames,Text,tokens,data,pol_sub,polarity,subjectivity,Stanford_score,Stanford_sentiment
0,2020-05-20,11:47:00,"['#bjp', '#rss']",['@any_morya:'],"['big', 'shame', 'bjp', 'rss', 'tried', 'divide', 'hindu', 'muslim', 'sunlight', 'heat', 'keeping', 'daily', 'ramzan', 'fasting']","['big', 'shame', 'bjp', 'rss', 'tried', 'divide', 'hindu', 'muslim', 'sunlight', 'heat', 'keeping', 'daily', 'ramzan', 'fasting']",its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting,"Sentiment(polarity=0.0, subjectivity=0.19999999999999998)",0.0,0.2,1.0,Negative
1,2020-05-20,11:47:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
2,2020-05-20,11:48:00,"['#bjp', '#gujrati', '#haridwar', '#covid__19.are']",[],"['bjp', 'govt', 'allows', '18', 'luxury', 'coaches', 'gujrati', 'pilgrims', 'haridwar', 'gujarat', 'amidst', 'covid__19.are', 'ppl']","['bjp', 'govt', 'allows', '18', 'luxury', 'coaches', 'gujrati', 'pilgrims', 'haridwar', 'gujarat', 'amidst', 'covid__19.are', 'ppl']",bjp govt allows  luxury coaches for gujrati pilgrims from haridwar to gujarat amidst covid  are the ppl of,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
3,2020-05-20,11:46:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
4,2020-05-20,11:46:00,"['#hindurashtra', '#india', '#hindus', '#modi.']",[],"['aspirants', 'hindurashtra', 'india', 'must', 'see', 'pathetic', 'conditions', 'poor', 'hindus', 'modi', '.', 'worst']","['aspirants', 'hindurashtra', 'india', 'must', 'see', 'pathetic', 'conditions', 'poor', 'hindus', 'modi', '.', 'worst']",aspirants of hindurashtra in india must see pathetic conditions of poor hindus under modi in worst,"Sentiment(polarity=-0.7999999999999999, subjectivity=0.8666666666666667)",-0.7999999999999999,0.8666666666666667,1.0,Negative
5,2020-05-20,11:45:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
6,2020-05-20,11:45:00,"['#breaking', '#update\\n#coronavirus', '#coronavirusupdate\\n#indiafightscovid19\\n\\nlook', '#covid19']",['@dextrousninja:'],"['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']","['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']",breaking update coronavirus coronavirusupdate indiafightscovid  look at d figures of covid in india states ru,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
7,2020-05-20,11:44:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
8,2020-05-20,11:43:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
9,2020-05-20,11:43:00,"['#india\\n#poverty\\n#inequality\\n#coronavirus\\n\\nuseless', '#bjp']",['@dv99999:'],"['india', 'poverty', 'inequality', 'coronavirus', 'useless', 'bjp', 'buffoons', 'r', 'busy', 'running', 'behind', 'celebrities', 'cricket', 'players', 'hindi', 'fi']","['india', 'poverty', 'inequality', 'coronavirus', 'useless', 'bjp', 'buffoons', 'r', 'busy', 'running', 'behind', 'celebrities', 'cricket', 'players', 'hindi', 'fi']",india poverty inequality coronavirus  useless bjp  buffoons r busy running behind celebrities cricket players hindi fi,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.39999999999999997)",-0.26666666666666666,0.4,1.0,Negative
10,2020-05-20,11:42:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
11,2020-05-20,11:40:00,['#congress'],[],"['time', 'cheap', 'politics', 'difficult', 'time', 'congress', 'providing', '1000+', 'buses', 'use']","['time', 'cheap', 'politics', 'difficult', 'time', 'congress', 'providing', '1000+', 'buses', 'use']",this is not time to do cheap politics in this difficult time  congress providing  buses for the use of,"Sentiment(polarity=-0.04999999999999999, subjectivity=0.85)",-0.04999999999999999,0.85,1.0,Negative
12,2020-05-20,11:40:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
13,2020-05-20,11:39:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
14,2020-05-20,11:38:00,['#bjp'],['@hansrajmeena'],"['may', 'limit', 'reach', 'handles', 'ask', 'question', 'farzi', 'bjp', 'government', '?']","['may', 'limit', 'reach', 'handles', 'ask', 'question', 'farzi', 'bjp', 'government', '?']",or may be to limit the reach of all handles who ask question to this farzi bjp government,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
15,2020-05-20,11:37:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
16,2020-05-20,11:36:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
17,2020-05-20,11:35:00,[],['@muslimmirror'],"['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
18,2020-05-20,11:35:00,"['#bjp', '#rajivgandhi']",['@i_theindian:'],"['bjp', 'keeps', 'raising', 'fake', 'allegations', 'rajivgandhi', 'score', 'brownie', 'points', 'withdrew', 'application']","['bjp', 'keeps', 'raising', 'fake', 'allegations', 'rajivgandhi', 'score', 'brownie', 'points', 'withdrew', 'application']",while bjp keeps raising fake allegations against rajivgandhi to score brownie points they withdrew their application to,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,1.0,Negative
19,2020-05-20,11:33:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative
20,2020-05-20,11:31:00,"['#indiaunderlockdown:', '#aicc']","['@news9tweets:', '@priyankagandhi', '@myogiadityanath']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']",indiaunderlockdown aicc general secy  asks  led up government to allow the buses she ha,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5,2.0,Neutral
21,2020-05-20,11:30:00,['#bjp'],['@dayanidhi_maran:'],"['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']","['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']",misogyny amp a track record of disrespecting women have become the trademark of bjp both online amp offline its now rea,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,1.0,Negative
22,2020-05-20,11:29:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative
23,2020-05-20,11:28:00,"['#bjp', '#congress']",['@aditisinghinc'],"['join', 'bjp', 'sometime', '.', 'understood', 'congress', 'agenda', '.']","['join', 'bjp', 'sometime', '.', 'understood', 'congress', 'agenda', '.']",will join bjp in sometime  as she has understood congress and there agenda now ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
24,2020-05-20,11:25:00,"['#indiaunderlockdown:', '#aicc']","['@news9tweets:', '@priyankagandhi', '@myogiadityanath']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']",indiaunderlockdown aicc general secy  asks  led up government to allow the buses she ha,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5,2.0,Neutral
25,2020-05-20,11:24:00,"['#indiaunderlockdown:', '#aicc']","['@priyankagandhi', '@myogiadityanath']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses']",indiaunderlockdown aicc general secy  asks  led up government to allow the buses,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5,2.0,Neutral
26,2020-05-20,11:24:00,"['#bjp', '#indianarmy', ""#kashmir'""]",['@mirfromkashmir:'],"['looters', 'gangsters', 'aka', 'bjp', 'indianarmy', 'kashmir']","['looters', 'gangsters', 'aka', 'bjp', 'indianarmy', 'kashmir']",looters and gangsters aka bjp indianarmy in kashmir,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
27,2020-05-20,11:24:00,"['#aditisingh', '#bjp', '#raebareli', '#loksabha']",[],"['aditisingh', 'could', 'next', 'bjp', 'bet', 'raebareli', 'loksabha', 'seat', 'https//t.co/9iypi5eia8']","['aditisingh', 'could', 'next', 'bjp', 'bet', 'raebareli', 'loksabha', 'seat', 'https//t.co/9iypi5eia8']",aditisingh could be next bjp bet for raebareli loksabha seat httpstcoiypieia,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
28,2020-05-20,11:23:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative
29,2020-05-20,11:22:00,['#bjp'],[],"['modi', 'keeping', 'eye', 'patra', 'keeping', 'eye', 'subramanium', 'swamy', '.', 'bjp']","['modi', 'keeping', 'eye', 'patra', 'keeping', 'eye', 'subramanium', 'swamy', '.', 'bjp']",modi keeping an eye on patra keeping an eye on subramanium swamy bjp,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
30,2020-05-20,11:22:00,"['#bjp', '#govt', '#rail', '#police', '#migrantlabourers,']",['@santanusenmp:'],"['bjp', 'govt', 'chargng', 'rail', 'fare', 'police', 'btng', 'migrantlabourers', 'sndng', 'deadbdies', 'injiured', 'frcing', 'thm', 'walk', 'miles']","['bjp', 'govt', 'chargng', 'rail', 'fare', 'police', 'btng', 'migrantlabourers', 'sndng', 'deadbdies', 'injiured', 'frcing', 'thm', 'walk', 'miles']",bjp govt chargng rail fare police btng migrantlabourers sndng deadbdies with injiured frcing thm to walk miles t,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
31,2020-05-20,11:20:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative
32,2020-05-20,11:19:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative
33,2020-05-20,11:19:00,"['#bangladesh', '#afghanistan', '#hindus\\n#pakistani', '#bjp']",['@sweposten:'],"['watch', 'bangladesh', 'hindus', 'afghanistan', 'hindus', 'pakistani', 'hindus', 'bjp', 'cant', 'feed', 'people', 'dont', 'accept', 'wil']","['watch', 'bangladesh', 'hindus', 'afghanistan', 'hindus', 'pakistani', 'hindus', 'bjp', 'cant', 'feed', 'people', 'dont', 'accept', 'wil']",watch out  bangladesh hindus afghanistan hindus pakistani hindus bjp cant feed his own people so dont accept you wil,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0,1.0,Negative
34,2020-05-20,11:19:00,"['#bjp', '#congress', '#migrantworkers']",['@nathbhupendra:'],"['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']","['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']",i do not know who will win in tussle between bjp amp congress but it is for sure that the migrantworkers have been che,"Sentiment(polarity=0.65, subjectivity=0.6444444444444444)",0.65,0.6444444444444444,1.0,Negative
35,2020-05-20,11:19:00,['#bjp'],[],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running', 'th']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running', 'th']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running th,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative
36,2020-05-20,11:18:00,"['#corona', '#bjp', '#modi\\n\\n#bjp', '#drambazzi', '#poor']",['@sweposten:'],"['atleast', 'corona', 'ji', 'time', 'good', 'test', '4', 'bjp', 'modi', 'bjp', 'drambazzi', 'would', 'cant', 'fed', 'poor', 'poor', 'country']","['atleast', 'corona', 'ji', 'time', 'good', 'test', '4', 'bjp', 'modi', 'bjp', 'drambazzi', 'would', 'cant', 'fed', 'poor', 'poor', 'country']",atleast corona ji time was a good test  bjp modi  bjp drambazzi   if he would cant fed his own poor poor country me,"Sentiment(polarity=0.12499999999999994, subjectivity=0.7000000000000001)",0.12499999999999994,0.7000000000000001,3.0,Positive
37,2020-05-20,11:17:00,"['#bjymcares', '#bj\\xe2\\x80\\xa6""']","['@suryaritz:', '@digvijaybjym']","['bjymcares', 'always', 'important', 'take', 'right', 'guidance', '.', 'surrounded', 'tremendous', 'leaders', 'bj']","['bjymcares', 'always', 'important', 'take', 'right', 'guidance', '.', 'surrounded', 'tremendous', 'leaders', 'bj']",bjymcares  its always important to take the right guidance you are surrounded with tremendous leaders bj,"Sentiment(polarity=0.33968253968253964, subjectivity=0.8452380952380952)",0.33968253968253964,0.8452380952380952,3.0,Positive
38,2020-05-20,11:17:00,"['#bjp', '#congress', '#migrantworkers']",['@nathbhupendra:'],"['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']","['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']",i do not know who will win in tussle between bjp amp congress but it is for sure that the migrantworkers have been che,"Sentiment(polarity=0.65, subjectivity=0.6444444444444444)",0.65,0.6444444444444444,1.0,Negative
39,2020-05-20,11:17:00,"['#bjp', '#maharashtra\\xe2\\x80\\xa6']",[],"['nephew', 'revolts', 'story', 'behind', 'devendra', 'fadnavis', 'ajit', 'pawars', 'oath', 'taking', 'bjp', 'maharashtra']","['nephew', 'revolts', 'story', 'behind', 'devendra', 'fadnavis', 'ajit', 'pawars', 'oath', 'taking', 'bjp', 'maharashtra']",the nephew revolts the story behind devendra fadnavis and ajit pawars oath taking bjp maharashtra,"Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7,2.0,Neutral
40,2020-05-20,11:16:00,"['#congress', '#bjp']","['@zeenews', '@aditisinghinc']","['congress', 'say', 'bjp', 'brought', 'pressure', '.', 'working', 'method', '.']","['congress', 'say', 'bjp', 'brought', 'pressure', '.', 'working', 'method', '.']",now congress will say that bjp has brought pressure on her its their working method,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral
