,Unnamed: 0,Date,Time,hashtags,tagged_usernames,Text,tokens,data,pol_sub,polarity,subjectivity,Stanford_score,Stanford_sentiment,pred_logreg,pred_logreg_proba,pred_forest,pred_forest_proba,pred_svc,pred_bayes,pred_bayes_proba
0,0,2020-05-20,11:47:00,"['#bjp', '#rss']",['@any_morya:'],"['big', 'shame', 'bjp', 'rss', 'tried', 'divide', 'hindu', 'muslim', 'sunlight', 'heat', 'keeping', 'daily', 'ramzan', 'fasting']","['big', 'shame', 'bjp', 'rss', 'tried', 'divide', 'hindu', 'muslim', 'sunlight', 'heat', 'keeping', 'daily', 'ramzan', 'fasting']",its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting,"Sentiment(polarity=0.0, subjectivity=0.19999999999999998)",0.0,0.2,1.0,Negative,0,0.0444925073987409,0,0.12,0,0,0.2773257193050174
1,1,2020-05-20,11:47:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
2,2,2020-05-20,11:48:00,"['#bjp', '#gujrati', '#haridwar', '#covid__19.are']",[],"['bjp', 'govt', 'allows', '18', 'luxury', 'coaches', 'gujrati', 'pilgrims', 'haridwar', 'gujarat', 'amidst', 'covid__19.are', 'ppl']","['bjp', 'govt', 'allows', '18', 'luxury', 'coaches', 'gujrati', 'pilgrims', 'haridwar', 'gujarat', 'amidst', 'covid__19.are', 'ppl']",bjp govt allows  luxury coaches for gujrati pilgrims from haridwar to gujarat amidst covid  are the ppl of,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.7196260063510338,1,0.6433333333333333,1,1,0.5560535520498315
3,3,2020-05-20,11:46:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.7381749202304214,1,0.699047619047619,1,1,0.5589435237421657
4,4,2020-05-20,11:46:00,"['#hindurashtra', '#india', '#hindus', '#modi.']",[],"['aspirants', 'hindurashtra', 'india', 'must', 'see', 'pathetic', 'conditions', 'poor', 'hindus', 'modi', '.', 'worst']","['aspirants', 'hindurashtra', 'india', 'must', 'see', 'pathetic', 'conditions', 'poor', 'hindus', 'modi', '.', 'worst']",aspirants of hindurashtra in india must see pathetic conditions of poor hindus under modi in worst,"Sentiment(polarity=-0.7999999999999999, subjectivity=0.8666666666666667)",-0.7999999999999999,0.8666666666666667,1.0,Negative,0,0.007435481920886761,0,0.02,0,0,0.13360163162807617
5,5,2020-05-20,11:45:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.7381749202304214,1,0.699047619047619,1,1,0.5589435237421657
6,6,2020-05-20,11:45:00,"['#breaking', '#update\\n#coronavirus', '#coronavirusupdate\\n#indiafightscovid19\\n\\nlook', '#covid19']",['@dextrousninja:'],"['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']","['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']",breaking update coronavirus coronavirusupdate indiafightscovid  look at d figures of covid in india states ru,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.5724335896128068,1,0.54,1,1,0.5439874177425127
7,7,2020-05-20,11:44:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
8,8,2020-05-20,11:43:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
9,9,2020-05-20,11:43:00,"['#india\\n#poverty\\n#inequality\\n#coronavirus\\n\\nuseless', '#bjp']",['@dv99999:'],"['india', 'poverty', 'inequality', 'coronavirus', 'useless', 'bjp', 'buffoons', 'r', 'busy', 'running', 'behind', 'celebrities', 'cricket', 'players', 'hindi', 'fi']","['india', 'poverty', 'inequality', 'coronavirus', 'useless', 'bjp', 'buffoons', 'r', 'busy', 'running', 'behind', 'celebrities', 'cricket', 'players', 'hindi', 'fi']",india poverty inequality coronavirus  useless bjp  buffoons r busy running behind celebrities cricket players hindi fi,"Sentiment(polarity=-0.26666666666666666, subjectivity=0.39999999999999997)",-0.26666666666666666,0.4,1.0,Negative,1,0.6199863160905504,1,0.5230763394354425,1,0,0.47273392521008994
10,10,2020-05-20,11:42:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
11,11,2020-05-20,11:40:00,['#congress'],[],"['time', 'cheap', 'politics', 'difficult', 'time', 'congress', 'providing', '1000+', 'buses', 'use']","['time', 'cheap', 'politics', 'difficult', 'time', 'congress', 'providing', '1000+', 'buses', 'use']",this is not time to do cheap politics in this difficult time  congress providing  buses for the use of,"Sentiment(polarity=-0.04999999999999999, subjectivity=0.85)",-0.04999999999999999,0.85,1.0,Negative,0,0.4062560794790282,0,0.3,0,0,0.47532718930430795
12,12,2020-05-20,11:40:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
