,Date,Time,hashtags,tagged_usernames,text,Text
0,2020-05-20,11:47:00,"['#bjp', '#rss']",['@any_morya:'],  its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting\xe2\x80\xa6,  its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting\xe2\x80\xa6
1,2020-05-20,11:47:00,[],"['@milligazette:', '@muslimmirror']",  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6,  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6
2,2020-05-20,11:47:00,"['#bjp', '#rss']",['@any_morya:'],  its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting\xe2\x80\xa6,  its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting\xe2\x80\xa6
3,2020-05-20,11:48:00,"['#bjp', '#gujrati', '#haridwar', '#covid__19.are']",[],bjp govt allows 18 luxury coaches for gujrati pilgrims from haridwar to gujarat amidst covid__19.are the ppl of\xe2\x80\xa6,bjp govt allows 18 luxury coaches for gujrati pilgrims from haridwar to gujarat amidst covid__19.are the ppl of\xe2\x80\xa6
4,2020-05-20,11:47:00,[],"['@milligazette:', '@muslimmirror']",  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6,  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6
5,2020-05-20,11:47:00,"['#bjp', '#rss']",['@any_morya:'],  its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting\xe2\x80\xa6,  its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting\xe2\x80\xa6
6,2020-05-20,11:46:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],  armed bjp rss activists with police in shahpur  ahmedabad rss_terrorists,  armed bjp rss activists with police in shahpur  ahmedabad rss_terrorists
7,2020-05-20,11:46:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],  armed bjp rss activists with police in shahpur  ahmedabad rss_terrorists,  armed bjp rss activists with police in shahpur  ahmedabad rss_terrorists
8,2020-05-20,11:46:00,"['#hindurashtra', '#india', '#hindus', '#modi.']",[],aspirants of hindurashtra in india must see pathetic conditions of poor hindus under modi. in worst\xe2\x80\xa6,aspirants of hindurashtra in india must see pathetic conditions of poor hindus under modi. in worst\xe2\x80\xa6
9,2020-05-20,11:46:00,[],"['@sweposten:', '@scrapravi', '@aayeff1', '@shenaz_irani', '@mujworld', '@ranajig', '@parveenkader', '@anas_speakss', '@wuntakall', '@manojfaridabad', '@paramzee91', ""@den\\xe2\\x80\\xa6'""]",            \xe2\x80\xa6,            \xe2\x80\xa6
10,2020-05-20,11:45:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],  armed bjp rss activists with police in shahpur  ahmedabad rss_terrorists,  armed bjp rss activists with police in shahpur  ahmedabad rss_terrorists
11,2020-05-20,11:45:00,"['#breaking', '#update\\n#coronavirus', '#coronavirusupdate\\n#indiafightscovid19\\n\\nlook', '#covid19']",['@dextrousninja:'],  breaking update\ncoronavirus coronavirusupdate\nindiafightscovid19\n\nlook at d figures of covid19 in india states ru\xe2\x80\xa6,  breaking update\ncoronavirus coronavirusupdate\nindiafightscovid19\n\nlook at d figures of covid19 in india states ru\xe2\x80\xa6
12,2020-05-20,11:44:00,[],"['@milligazette:', '@muslimmirror']",  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6,  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6
13,2020-05-20,11:43:00,[],"['@milligazette:', '@muslimmirror']",  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6,  fir against  news website. according to gujarat police a day after the shahpur stone-pelting a video was \xe2\x80\xa6
