,Date,Time,hashtags,tagged_usernames,Text,tokens,data
0,2020-05-20,11:47:00,"['#bjp', '#rss']",['@any_morya:'],"['big', 'shame', 'bjp', 'rss', 'tried', 'divide', 'hindu', 'muslim', 'sunlight', 'heat', 'keeping', 'daily', 'ramzan', 'fasting']","['big', 'shame', 'bjp', 'rss', 'tried', 'divide', 'hindu', 'muslim', 'sunlight', 'heat', 'keeping', 'daily', 'ramzan', 'fasting']",its big shame to bjp rss who tried to divide hindu muslim  in such sunlight and heat keeping their daily ramzan fasting
1,2020-05-20,11:47:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was
2,2020-05-20,11:48:00,"['#bjp', '#gujrati', '#haridwar', '#covid__19.are']",[],"['bjp', 'govt', 'allows', '18', 'luxury', 'coaches', 'gujrati', 'pilgrims', 'haridwar', 'gujarat', 'amidst', 'covid__19.are', 'ppl']","['bjp', 'govt', 'allows', '18', 'luxury', 'coaches', 'gujrati', 'pilgrims', 'haridwar', 'gujarat', 'amidst', 'covid__19.are', 'ppl']",bjp govt allows  luxury coaches for gujrati pilgrims from haridwar to gujarat amidst covid  are the ppl of
3,2020-05-20,11:46:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists
4,2020-05-20,11:46:00,"['#hindurashtra', '#india', '#hindus', '#modi.']",[],"['aspirants', 'hindurashtra', 'india', 'must', 'see', 'pathetic', 'conditions', 'poor', 'hindus', 'modi', '.', 'worst']","['aspirants', 'hindurashtra', 'india', 'must', 'see', 'pathetic', 'conditions', 'poor', 'hindus', 'modi', '.', 'worst']",aspirants of hindurashtra in india must see pathetic conditions of poor hindus under modi in worst
5,2020-05-20,11:46:00,[],"['@sweposten:', '@scrapravi', '@aayeff1', '@shenaz_irani', '@mujworld', '@ranajig', '@parveenkader', '@anas_speakss', '@wuntakall', '@manojfaridabad', '@paramzee91', ""@den\\xe2\\x80\\xa6'""]",[],[],
6,2020-05-20,11:45:00,"['#bjp', '#rss', '#rss_terrorists']",['@muslimmirror:'],"['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']","['armed', 'bjp', 'rss', 'activists', 'police', 'shahpur', 'ahmedabad', 'rss_terrorists']",armed bjp rss activists with police in shahpur  ahmedabad rss terrorists
7,2020-05-20,11:45:00,"['#breaking', '#update\\n#coronavirus', '#coronavirusupdate\\n#indiafightscovid19\\n\\nlook', '#covid19']",['@dextrousninja:'],"['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']","['breaking', 'update', 'coronavirus', 'coronavirusupdate', 'indiafightscovid19', 'look', 'figures', 'covid19', 'india', 'states', 'ru']",breaking update coronavirus coronavirusupdate indiafightscovid  look at d figures of covid in india states ru
8,2020-05-20,11:44:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was
9,2020-05-20,11:43:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was
